&#x1f47d;	extraterrestrial alien
&#x1f47e;	alien monster
&#x1f916;	robot face
&#x1f4a9;	pile of poo
&#x1f435;	monkey face
&#x1f648;	see-no-evil monkey
&#x1f649;	hear-no-evil monkey
&#x1f64a;	speak-no-evil monkey
&#x1f412;	monkey
&#x1f436;	dog face
&#x1f415;	dog
&#x1f429;	poodle
&#x1f43a;	wolf face
&#x1f431;	cat face
&#x1f638;	grinning cat face with smiling eyes
&#x1f639;	cat face with tears of joy
&#x1f63a;	smiling cat face with open mouth
&#x1f63b;	smiling cat face with heart-shaped eyes
&#x1f63c;	cat face with wry smile
&#x1f63d;	kissing cat face with closed eyes
&#x1f63e;	pouting cat face
&#x1f63f;	crying cat face
&#x1f640;	weary cat face
&#x1f408;	cat
&#x1f981;	lion face
&#x1f42f;	tiger face
&#x1f405;	tiger
&#x1f406;	leopard
&#x1f434;	horse face
&#x1f40e;	horse
&#x1f984;	unicorn face
&#x1f42e;	cow face
&#x1f402;	ox
&#x1f403;	water buffalo
&#x1f404;	cow
&#x1f437;	pig face
&#x1f416;	pig
&#x1f417;	boar
&#x1f43d;	pig nose
&#x1f40f;	ram
&#x1f411;	sheep
&#x1f410;	goat
&#x1f42a;	dromedary camel
&#x1f42b;	bactrian camel
&#x1f418;	elephant
&#x1f42d;	mouse face
&#x1f401;	mouse
&#x1f400;	rat
&#x1f439;	hamster face
&#x1f430;	rabbit face
&#x1f407;	rabbit
&#x1f43f;	chipmunk
&#x1f43b;	bear face
&#x1f428;	koala
&#x1f43c;	panda face
&#x1f43e;	paw prints
&#x1f983;	turkey
&#x1f414;	chicken
&#x1f413;	rooster
&#x1f423;	hatching chick
&#x1f424;	baby chick
&#x1f425;	front-facing baby chick
&#x1f426;	bird
&#x1f427;	penguin
&#x1f54a;	dove of peace
&#x1f438;	frog face
&#x1f40a;	crocodile
&#x1f422;	turtle
&#x1f40d;	snake
&#x1f432;	dragon face
&#x1f409;	dragon
&#x1f433;	spouting whale
&#x1f40b;	whale
&#x1f42c;	dolphin
&#x1f41f;	fish
&#x1f420;	tropical fish
&#x1f421;	blowfish
&#x1f419;	octopus
&#x1f41a;	spiral shell
&#x1f980;	crab
&#x1f40c;	snail
&#x1f41b;	bug
&#x1f41c;	ant
&#x1f41d;	honeybee
&#x1f41e;	lady beetle
&#x1f577;	spider
&#x1f578;	spider web
&#x1f982;	scorpion
&#x1f490;	bouquet
&#x1f338;	cherry blossom
&#x1f4ae;	white flower
&#x1f3f5;	rosette
&#x1f339;	rose
&#x1f33a;	hibiscus
&#x1f33b;	sunflower
&#x1f33c;	blossom
&#x1f337;	tulip
&#x2618;	shamrock
&#x1f331;	seedling
&#x1f332;	evergreen tree
&#x1f333;	deciduous tree
&#x1f334;	palm tree
&#x1f335;	cactus
&#x1f33e;	ear of rice
&#x1f33f;	herb
&#x1f340;	four leaf clover
&#x1f341;	maple leaf
&#x1f342;	fallen leaf
&#x1f343;	leaf fluttering in wind
&#x1f347;	grapes
&#x1f348;	melon
&#x1f349;	watermelon
&#x1f34a;	tangerine
&#x1f34b;	lemon
&#x1f34c;	banana
&#x1f34d;	pineapple
&#x1f34e;	red apple
&#x1f34f;	green apple
&#x1f350;	pear
&#x1f351;	peach
&#x1f352;	cherries
&#x1f353;	strawberry
&#x1f345;	tomato
&#x1f346;	aubergine
&#x1f33d;	ear of maize
&#x1f336;	hot pepper
&#x1f344;	mushroom
&#x1f330;	chestnut
&#x1f35e;	bread
&#x1f9c0;	cheese wedge
&#x1f356;	meat on bone
&#x1f357;	poultry leg
&#x1f354;	hamburger
&#x1f35f;	french fries
&#x1f355;	slice of pizza
&#x1f32d;	hot dog
&#x1f32e;	taco
&#x1f32f;	burrito
&#x1f37f;	popcorn
&#x1f372;	pot of food
&#x1f371;	bento box
&#x1f358;	rice cracker
&#x1f359;	rice ball
&#x1f35a;	cooked rice
&#x1f35b;	curry and rice
&#x1f35c;	steaming bowl
&#x1f35d;	spaghetti
&#x1f360;	roasted sweet potato
&#x1f362;	oden
&#x1f363;	sushi
&#x1f364;	fried shrimp
&#x1f365;	fish cake with swirl design
&#x1f361;	dango
&#x1f366;	soft ice cream
&#x1f367;	shaved ice
&#x1f368;	ice cream
&#x1f369;	doughnut
&#x1f36a;	cookie
&#x1f382;	birthday cake
&#x1f370;	shortcake
&#x1f36b;	chocolate bar
&#x1f36c;	candy
&#x1f36d;	lollipop
&#x1f36e;	custard
&#x1f36f;	honey pot
&#x1f37c;	baby bottle
&#x2615;	hot beverage
&#x1f375;	teacup without handle
&#x1f376;	sake bottle and cup
&#x1f37e;	bottle with popping cork
&#x1f377;	wine glass
&#x1f378;	cocktail glass
&#x1f379;	tropical drink
&#x1f37a;	beer mug
&#x1f37b;	clinking beer mugs
&#x1f37d;	fork and knife with plate
&#x1f374;	fork and knife
&#x1f373;	cooking
&#x1f3fa;	amphora
&#x1f30d;	earth globe europe-africa
&#x1f30e;	earth globe americas
&#x1f30f;	earth globe asia-australia
&#x1f310;	globe with meridians
&#x1f5fa;	world map
&#x1f3d4;	snow capped mountain
&#x26f0;	mountain
&#x1f30b;	volcano
&#x1f5fb;	mount fuji
&#x1f3d5;	camping
&#x1f3d6;	beach with umbrella
&#x1f3dc;	desert
&#x1f3dd;	desert island
&#x1f3de;	national park
&#x1f3df;	stadium
&#x1f3db;	classical building
&#x1f3d7;	building construction
&#x1f3d8;	house buildings
&#x1f3d9;	cityscape
&#x1f3da;	derelict house building
&#x1f3e0;	house building
&#x1f3e1;	house with garden
&#x1f6d0;	place of worship
&#x26ea;	church
&#x1f54b;	kaaba
&#x1f54c;	mosque
&#x1f54d;	synagogue
&#x1f3e2;	office building
&#x1f3e3;	japanese post office
&#x1f3e4;	european post office
&#x1f3e5;	hospital
&#x1f3e6;	bank
&#x1f3e8;	hotel
&#x1f3e9;	love hotel
&#x1f3ea;	convenience store
&#x1f3eb;	school
&#x1f3ec;	department store
&#x1f3ed;	factory
&#x1f3ef;	japanese castle
&#x1f3f0;	european castle
&#x1f492;	wedding
&#x1f5fc;	tokyo tower
&#x1f5fd;	statue of liberty
&#x1f5fe;	silhouette of japan
&#x26f2;	fountain
&#x26fa;	tent
&#x1f301;	foggy
&#x1f303;	night with stars
&#x1f304;	sunrise over mountains
&#x1f305;	sunrise
&#x1f306;	cityscape at dusk
&#x1f307;	sunset over buildings
&#x1f309;	bridge at night
&#x1f30a;	water wave
&#x2668;	hot springs
&#x1f5ff;	moyai
&#x1f30c;	milky way
&#x1f3a0;	carousel horse
&#x1f3a1;	ferris wheel
&#x1f3a2;	roller coaster
&#x1f488;	barber pole
&#x1f3aa;	circus tent
&#x1f3ad;	performing arts
&#x1f5bc;	frame with picture
&#x1f3a8;	artist palette
&#x1f3b0;	slot machine
&#x1f682;	steam locomotive
&#x1f683;	railway car
&#x1f684;	high-speed train
&#x1f685;	high-speed train with bullet nose
&#x1f686;	train
&#x1f687;	metro
&#x1f688;	light rail
&#x1f689;	station
&#x1f68a;	tram
&#x1f69d;	monorail
&#x1f69e;	mountain railway
&#x1f68b;	tram car
&#x1f68c;	bus
&#x1f68d;	oncoming bus
&#x1f68e;	trolleybus
&#x1f68f;	bus stop
&#x1f690;	minibus
&#x1f691;	ambulance
&#x1f692;	fire engine
&#x1f693;	police car
&#x1f694;	oncoming police car
&#x1f695;	taxi
&#x1f696;	oncoming taxi
